plant,rep,image_num,image_path,mask_path,nn_role
Ba4-1,rep_01,0,Ba4-1/rep_01/1000082_2022_05_11_12_09_35-2-171-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_11_12_09_35-2-171-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,1,Ba4-1/rep_01/1000082_2022_05_12_12_00_17-6-1-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_12_12_00_17-6-1-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,2,Ba4-1/rep_01/1000082_2022_05_12_15_00_17-6-2-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_12_15_00_17-6-2-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,3,Ba4-1/rep_01/1000082_2022_05_13_12_00_17-6-3-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_13_12_00_17-6-3-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,4,Ba4-1/rep_01/1000082_2022_05_13_15_00_16-6-4-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_13_15_00_16-6-4-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,5,Ba4-1/rep_01/1000082_2022_05_14_12_00_17-6-5-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_14_12_00_17-6-5-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,6,Ba4-1/rep_01/1000082_2022_05_14_15_00_17-6-6-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_14_15_00_17-6-6-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,7,Ba4-1/rep_01/1000082_2022_05_15_12_00_17-6-7-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_15_12_00_17-6-7-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,8,Ba4-1/rep_01/1000082_2022_05_15_15_00_17-6-8-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_15_15_00_17-6-8-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,9,Ba4-1/rep_01/1000082_2022_05_16_12_00_17-6-9-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_16_12_00_17-6-9-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,10,Ba4-1/rep_01/1000082_2022_05_16_15_00_17-6-10-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_16_15_00_17-6-10-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,11,Ba4-1/rep_01/1000082_2022_05_17_12_00_17-6-11-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_17_12_00_17-6-11-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,12,Ba4-1/rep_01/1000082_2022_05_17_15_00_17-6-12-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_17_15_00_17-6-12-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,13,Ba4-1/rep_01/1000082_2022_05_18_12_00_17-6-13-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_18_12_00_17-6-13-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,14,Ba4-1/rep_01/1000082_2022_05_18_15_00_17-6-14-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_18_15_00_17-6-14-TA03-RGB1_pot_B5_Ba4-1-01.png,train
Ba4-1,rep_01,15,Ba4-1/rep_01/1000082_2022_05_19_12_00_17-6-15-TA03-RGB1_pot_B5_Ba4-1-01.png,Ba4-1/rep_01/1000082_2022_05_19_12_00_17-6-15-TA03-RGB1_pot_B5_Ba4-1-01.png,train
