Colour visual,RGB,Leaf number,Comments
,"(244, 64, 14)",1,
,"(48, 57, 249)",2,
,"(234, 250, 37)",3,
,"(24, 193, 65)",4,
,"(245, 130, 49)",5,
,"(231, 80, 219)",6,
,"(0, 182, 173)",7,
,"(115, 0, 218)",8,
,"(191, 239, 69)",9,
,"(255, 250, 200)",10,
,"(250, 190, 212)",11,
,"(66, 212, 244)",12,
,"(155, 99, 36)",13,
,"(220, 190, 255)",14,
,"(69, 158, 220)",15,
,"(255, 216, 177)",16,
,"(98, 2, 37)",17,
,"(227, 213, 12)",18,
,"(79, 159, 83)",19,
,"(170, 23, 101)",20,
,"(170, 255, 195)",21,
,"(169, 169, 169)",22,
,"(181, 111, 119)",23,
,"(144, 121, 171)",24,
,"(9, 125, 244)",25,
,"(184, 70, 30)",26,
,"(154, 35, 246)",27,
,"(229, 225, 238)",28,
,"(141, 254, 82)",29,
,"(31, 200, 209)",30,
,"(194, 217, 105)",31,
,"(91, 20, 124)",32,
,"(181, 220, 171)",33,
,"(37, 3, 193)",34,
,,35,
,,36,
,,37,
,,38,
,,39,
,,40,
